CHIMALTENANGO,SANTA APOLONIA,Concejal I,COCINA,SALOMON CHONAY ASIJTUJ,SALOMON,,CHONAY,ASIJTUJ,
CHIMALTENANGO,SANTA APOLONIA,Concejal II,COCINA,SEBASTIAN  SUT MARROQUIN,SEBASTIAN,,SUT,MARROQUIN,
CHIMALTENANGO,SANTA APOLONIA,Concejal III,CCFU,MISAEL TUBAC AJOZAL,MISAEL,,TUBAC,AJOZAL,
CHIMALTENANGO,SANTA APOLONIA,Concejal IV,CCFU,LEONARDO CHONAY BUC,LEONARDO,,CHONAY,BUC,
CHIMALTENANGO,SANTA APOLONIA,Concejal Suplente I,COCINA,JOSE MARIA AJOZAL TAMAT,JOSE,MARIA,AJOZAL,TAMAT,
CHIMALTENANGO,SANTA APOLONIA,Concejal Suplente II,CCFU,JULIO LOPEZ TEPAZ,JULIO,,LOPEZ,TEPAZ,
CHIMALTENANGO,TECPAN,Alcalde,CCTU,LUCAS CUTZAL MUX,LUCAS,,CUTZAL,MUX,
CHIMALTENANGO,TECPAN,Síndico  I,CCTU,FLORENCIO ISAIAS SIMON  COSTOP,FLORENCIO,ISAIAS,SIMON,COSTOP,
CHIMALTENANGO,TECPAN,Síndico  II,CCTU,BERNABE MENDEZ CAPIR,BERNABE,,MENDEZ,CAPIR,
CHIMALTENANGO,TECPAN,Síndico Suplente,CCTU,JUAN GILBERTO SAQUIC SAMBRANO,JUAN,GILBERTO,SAQUIC,SAMBRANO,
CHIMALTENANGO,TECPAN,Concejal I,CCTU,GERMAN MANUEL BALA LOPEZ,GERMAN,MANUEL,BALA,LOPEZ,
CHIMALTENANGO,TECPAN,Concejal II,CCTU,JUAN  YUC RACANAC,JUAN,,YUC,RACANAC,
CHIMALTENANGO,TECPAN,Concejal III,CCTU,FELIPE SERECH SEN,FELIPE,,SERECH,SEN,
CHIMALTENANGO,TECPAN,Concejal IV,LIDER,LUCIO  SALVADOR SANCIR,LUCIO,SALVADOR,SANCIR,,
CHIMALTENANGO,TECPAN,Concejal V,LIDER,CANDIDO  COJTI SERECH,CANDIDO,,COJTI,SERECH,
CHIMALTENANGO,TECPAN,Concejal VI,P P,JOSE GERARDO PINZON ALEMAN,JOSE,GERARDO,PINZON,ALEMAN,
CHIMALTENANGO,TECPAN,Concejal VII,P P,MARCOS ENRIQUE SERECH SEN,MARCOS,ENRIQUE,SERECH,SEN,
CHIMALTENANGO,TECPAN,Concejal Suplente I,CCTU,OVIDIO TUCUBAL LOPEZ,OVIDIO,,TUCUBAL,LOPEZ,
CHIMALTENANGO,TECPAN,Concejal Suplente II,LIDER,OBISPO  LUIS VENTURA  GARCIA,OBISPO,LUIS,VENTURA,GARCIA,
CHIMALTENANGO,TECPAN,Concejal Suplente III,P P,SELVIN ANIBAL ALVARADO  LOPEZ,SELVIN,ANIBAL,ALVARADO,LOPEZ,
CHIMALTENANGO,PATZUN,Alcalde,P P,MARDOQUEO CANCAX SACACH,MARDOQUEO,,CANCAX,SACACH,
CHIMALTENANGO,PATZUN,Síndico  I,P P,JULIO COCON COYOTE,JULIO,,COCON,COYOTE,
CHIMALTENANGO,PATZUN,Síndico  II,P P,NEMECIO CANU CHICOL,NEMECIO,,CANU,CHICOL,
CHIMALTENANGO,PATZUN,Síndico Suplente,P P,JOSE FELIPE BATZ  SAGUACH,JOSE,FELIPE,BATZ,SAGUACH,
CHIMALTENANGO,PATZUN,Concejal I,P P,JULIO GONZALEZ PATAL,JULIO,,GONZALEZ,PATAL,
CHIMALTENANGO,PATZUN,Concejal II,P P,ENCARNACION OLCOT XINICO,ENCARNACION,,OLCOT,XINICO,
CHIMALTENANGO,PATZUN,Concejal III,P P,ROSENDO TZAY BATZ,ROSENDO,,TZAY,BATZ,
CHIMALTENANGO,PATZUN,Concejal IV,UNE-GANA,JOAQUIN TAQUIRA SIPAC,JOAQUIN,,TAQUIRA,SIPAC,
CHIMALTENANGO,PATZUN,Concejal V,LIDER,JOSE PILAR SICAJAN ESPITAL,JOSE,PILAR,SICAJAN,ESPITAL,
CHIMALTENANGO,PATZUN,Concejal Suplente I,P P,EDWIN LISANDRO XICO XIQUIN,EDWIN,LISANDRO,XICO,XIQUIN,
CHIMALTENANGO,PATZUN,Concejal Suplente II,UNE-GANA,SEGUNDO UPUN XINICO,SEGUNDO,,UPUN,XINICO,
CHIMALTENANGO,POCHUTA,Alcalde,UNE-GANA,JOSE BENJAMIN VASQUEZ  REYES,JOSE,BENJAMIN,VASQUEZ,REYES,
CHIMALTENANGO,POCHUTA,Síndico  I,UNE-GANA,JOSE ARMANDO ROSALES HERNANDEZ,JOSE,ARMANDO,ROSALES,HERNANDEZ,
CHIMALTENANGO,POCHUTA,Síndico  II,UNE-GANA,MANUEL ANIBAL LOPEZ MONROY,MANUEL,ANIBAL,LOPEZ,MONROY,
CHIMALTENANGO,POCHUTA,Síndico Suplente,UNE-GANA,JUAN JOSE ALFREDO CUJCUJ TECBAL,JUAN,JOSE,CUJCUJ,TECBAL,
CHIMALTENANGO,POCHUTA,Concejal I,UNE-GANA,LESTER OVIDIO LOPEZ SALAZAR,LESTER,OVIDIO,LOPEZ,SALAZAR,
CHIMALTENANGO,POCHUTA,Concejal II,UNE-GANA,ANGEL ANTONIO GARCIA  REYES,ANGEL,ANTONIO,GARCIA,REYES,
